username,keyword,commits_before,commits_after,net_lines_before,net_lines_after,lines_added_before,lines_removed_before,lines_added_after,lines_removed_after
cloudhakasekumo403,adhd,76,225,198939,23587,193619,5320,18192,5395
Longor1996,autism,26,8,1096,1333,862,234,1306,27
krystofkrticka,audhd,56119,108808,7172,7837,6829,343,7088,749
wooffet,adhd,994,812,9861,98316,5621,4240,61739,36577
dudemelo,adhd,84,199,4767,44402,3435,1332,31301,13101
astralbodies,adhd,982,565,93664,31884,57081,36583,21934,9950
Chichiwenk,adhd,65,34,2114,163,1218,896,100,63
Dang-pig,add,36,6,16236,62817,15024,1212,62739,78
Anng3l,add,57,184,20461,298816,18345,2116,294394,4422
OzodhHamzayev,add,17,23,44929,38023,42416,2513,35505,2518
Sarfaraj-haque,add,13,37,11516,69472,11515,1,68842,630
raghunarasimhamurthy,add,43,23,20794,78104,20013,781,78006,98
karthik7712,add,7554,21,80460,2515,80198,262,2460,55
maxshiro,add,73,22,88507,9854,70618,17889,9760,94
AlexandrNesterovSe7en,add,156,7,67859,4845,46055,21804,4807,38
lighter217,add,1837,967,170872,200,74016,96856,100,100
Bagus-Septianto,add,38,23,1489,1109,769,720,566,543
joshmerrell,add,108,104,20302,48643,17943,2359,43475,5168
syzhere,add,1289,7,37046,17335,27199,9847,17317,18
MooMoo7661,add,723,44,31549,4586,19527,12022,2378,2208
maxbesley,add,78,73,509836,9653,508498,1338,6379,3274
LevKosyk,add,7,290,201,850247,102,99,532303,317944
kairotlei,add,1320,594,5969,26121,3359,2610,14596,11525
waxiechc,add,11,23,1151,702324,1151,0,701980,344
Utka7sh,add,73,20,167147,6550739,165485,1662,3292476,3258263
5ei74R0,add,176,52,20675,17935,16265,4410,13494,4441
Aditbise,add,19,48,199417,476833,199417,0,470686,6147
purpleliger,add,71,21,17188,7238,11532,5656,7095,143
kamy0042,add,33,32,1305,358,866,439,203,155
trublesomeban,add,28,12,25128,1753,23880,1248,951,802
muhammedtaufiq,add,20,188,5408,186004,5236,172,177142,8862
flashkid10,add,49,35,455,401,297,158,250,151
copywrite,add,132,5,3962,97,3793,169,93,4
rcarmonad,add,80,148,1551,13466,795,756,11502,1964
c830g420,add,924,16,40725,688,23941,16784,489,199
ghimik,add,165,110,49565,54792,43606,5959,51750,3042
RestuWibisonoo,add,112,109,213021,242338,187250,25771,231943,10395
jhuguetn,add,76,22,3311,2251,2005,1306,1987,264
billcastillo,add,24,8,56209,19278,55621,588,13110,6168
sldenazis,add,426,86,1319,61544,976,343,33274,28270
pia2011,add,38,22,2485,2484,2466,19,2383,101
YanZiBuGuiCHunShiWan,add,10,97,520367,44414,516361,4006,27012,17402
EdwiTsanys,add,15,63,2715,293161,2696,19,291459,1702
Ivan0n,add,46,183,6175,124045,6002,173,112209,11836
PotatoWarm,add,405,52,604570,3417,330849,273721,2521,896
Maretesus666,add,143,73,58857,26547,41013,17844,19417,7130
abcsilence,add,46,28,5367,2110275,4860,507,2043570,66705
terrylockett,add,229,91,14966,8517,9274,5692,7596,921
Elite230,add,8,13,780,4068,777,3,4026,42
siyang814,add,64,102,359,941,235,124,468,473
Bartz94,add,80,13,40683,10347,37059,3624,10079,268
taobourmaud,add,42,72,38982,390488,38469,513,341893,48595
tooilxui,add,107,63,15430,10385,9940,5490,6942,3443
sanyam-dev,add,175,54,183300,61998,171206,12094,51524,10474
denistv,add,2116,942,16431,24538,12789,3642,15823,8715
Dysar,add,67,59,19466,47949,17710,1756,31678,16271
02zchen,add,9,21,128041,54247,101659,26382,53372,875
gitahisamuel,add,9,117,35506,602820,34854,652,599245,3575
raricycms,add,7,234,2553,119757,1511,1042,73145,46612
coldraincn,add,208,202,313,1062,170,143,569,493
carpedil,add,34,40,5995,56469,5587,408,42751,13718
Senpai-paj,add,195,209,34295,1079852,31447,2848,557311,522541
CorentinEsn,add,50,10,312357,1854,232645,79712,1842,12
mkarmann,add,8,81,1982,47782,1953,29,41084,6698
RamonWeb,add,30,74,3550,17473,3141,409,11419,6054
JairoMS27,add,15139,22722,122683,127916,104595,18088,88170,39746
YugankSingh,add,52,6,72240,13224,70500,1740,13223,1
asamaayako,add,1521,57,526574,17290,287636,238938,14551,2739
qcy1024,add,14,12,50925,995,27009,23916,982,13
SpicyCombo,add,191,66,35217,6509,30851,4366,5190,1319
cLegob,add,25,44,2323,6653,1916,407,4342,2311
plumefox,add,50,6,742,8,602,140,7,1
quynhtubi3,add,17,7,76805,451875,76054,751,451836,39
johanngerberding,add,195,41,111927,14885,98761,13166,14014,871
riteshp2008,add,166,14,184214,42570,172044,12170,42384,186
evolost,add,263,265,125236,112143,114738,10498,35900,76243
Omar-Masri,add,52,31,5570684,287975,2480030,3090654,172110,115865
Sanluli36li,add,37,196,6330,14044,4592,1738,9603,4441
yusufkaancelik,add,13,26,404,44454,327,77,44311,143
4sushi,add,779,229,71074,16348,49215,21859,9149,7199
johnsalcedo1357,add,8,61,16802,1000481,12585,4217,999535,946
keenu1,add,62,13,92386,72444,60215,32171,72429,15
Tyex2004,add,51,26,20067,2924384,19793,274,2425419,498965
sakib04,add,104,282,1155,7204,1092,63,6781,423
ToggleKit,add,129,57,7584,5747,6218,1366,3606,2141
DaviZCodes,add,67,90,3945,16788,2633,1312,13988,2800
