username,keyword,commits_before,commits_after,net_lines_before,net_lines_after,lines_added_before,lines_removed_before,lines_added_after,lines_removed_after
Blindman01,legally blind,0,0,0,0,0,0,0,0
moon-afrin,blind,0,0,0,0,0,0,0,0
XANA-Git,blind,0,0,0,0,0,0,0,0
AbhikC4,blind,0,9,0,610,0,0,587,23
njonusiene,blind,75,0,141658,0,138729,2929,0,0
hafsah1321,blind,0,0,0,0,0,0,0,0
coryysmh,blind,0,11,0,1694,0,0,1450,244
MelonLord96,blind,11,1,3658,25455,3017,641,25455,0
Tokyooi,blind,0,12,0,43675,0,0,33066,10609
JoshuaHHess,blind,0,5,0,143,0,0,125,18
myselfsanjay,blind,0,10,0,9124,0,0,9120,4
BleyendBandit,blind,0,0,0,0,0,0,0,0
pungkula1337anka,blind,1593,0,106262,0,71235,35027,0,0
snair86,blind,2,0,4507,0,4507,0,0,0
christian2608,blind,0,13,0,102,0,0,96,6
TBO-BrutusAlbion,blind,35,109,13160,62186,5253,7907,53918,8268
AD0510,blind,5,45,706,900,706,0,651,249
MalsTheDev,blind,19,0,12431,0,12127,304,0,0
magina0720,blind,0,0,0,0,0,0,0,0
Z3phyr0us,blind,0,77,0,148437,0,0,128230,20207
Kysnn,blind,0,0,0,0,0,0,0,0
DREK69,blind,214,454,2605,21963,1589,1016,12520,9443
krysje,blind,18,0,53,0,37,16,0,0
chenjiangze,blind,0,0,0,0,0,0,0,0
Habib-14,blind,0,0,0,0,0,0,0,0
Roseleaves,blind,21,380,2100,142976,2042,58,66047,76929
MohammadAlBanna,blind,0,0,0,0,0,0,0,0
GentilBastien,blind,14,7,1889,4125200,1220,669,2881601,1243599
JNevile,blind,152,0,789170,0,666403,122767,0,0
FerozXQc,blind,0,6,0,8669,0,0,8663,6
anonymity999,blind,0,0,0,0,0,0,0,0
ROFLING,blind,11,21,4033,26207,4014,19,25255,952
primortalj,blind,0,15,0,22188,0,0,22176,12
Pseudowoodos,blind,0,0,0,0,0,0,0,0
Derrick90,blind,0,0,0,0,0,0,0,0
doubleblind666,blind,0,0,0,0,0,0,0,0
justinbarnard,blind,0,18,0,4034,0,0,3604,430
temnica,blind,0,0,0,0,0,0,0,0
EugeniusBaptista,blind,0,0,0,0,0,0,0,0
SONMOOK-OH,blind,0,0,0,0,0,0,0,0
BlindAndre,blind,0,0,0,0,0,0,0,0
atobrien,blind,0,0,0,0,0,0,0,0
blindmotor34,blind,0,0,0,0,0,0,0,0
blindbat23,blind,0,0,0,0,0,0,0,0
blind-community,blind,0,0,0,0,0,0,0,0
nullesque,blind,0,2,0,5551,0,0,5551,0
killmerayr,blind,0,99,0,1819937,0,0,1024584,795353
perfumebox,blind,0,0,0,0,0,0,0,0
oguzhanproductions,blind,0,0,0,0,0,0,0,0
akhettat,blind,38,12,4316957,3649,2316165,2000792,2482,1167
mussietarekegn,blind,0,184,0,66773,0,0,57712,9061
4lpha-x,blind,0,0,0,0,0,0,0,0
puzzlecube,blind,1,0,350,0,213,137,0,0
brlat,blind,532,338,92327,104261,65287,27040,69879,34382
TengLun,blind,0,0,0,0,0,0,0,0
ziyi-bear,blind,0,0,0,0,0,0,0,0
rally314,blind,0,0,0,0,0,0,0,0
chinmaykurade,blind,0,17,0,5904,0,0,5688,216
starndiki,blind,0,5,0,113,0,0,113,0
KatsutoshiTsuji,blind,0,0,0,0,0,0,0,0
kujiu,blind,0,0,0,0,0,0,0,0
nguyenminhkhmt,blind,0,9,0,44801,0,0,30310,14491
kadir03debug,blind,0,0,0,0,0,0,0,0
HombioChan,blind,0,12,0,5707,0,0,5447,260
cixastra,blind,0,41,0,1086,0,0,680,406
zoekniskern,blind,0,0,0,0,0,0,0,0
Ty205,blind,0,0,0,0,0,0,0,0
aikeokmnv,blind,0,0,0,0,0,0,0,0
TTETeam,blind,0,0,0,0,0,0,0,0
V98Ganz,blind,0,0,0,0,0,0,0,0
Marconiusiii,blind,0,30,0,9952,0,0,8885,1067
Youthername,blind,8,8,21292,2391,21292,0,2289,102
parisbs,blind,9,0,2022,0,1457,565,0,0
CodeShareBot,blind,0,0,0,0,0,0,0,0
joew46167,blind,0,0,0,0,0,0,0,0
idkpmiller,blind,155,35,38664,2258,10344,28320,1895,363
nkyozkz,blind,543,8,25248,9611,20637,4611,8993,618
assocblindwa,blind,0,0,0,0,0,0,0,0
jackiepeters,blind,0,0,0,0,0,0,0,0
ShotgunSpoon,blind,1082,864,41498,13096,28364,13134,9144,3952
TheChiMaster,blind,26,0,6994,0,6798,196,0,0
ssendnilB,legally blind,0,0,0,0,0,0,0,0
ssawczyn,blind,0,0,0,0,0,0,0,0
RuZiyang,blind,0,0,0,0,0,0,0,0
Cyber-GI,blind,0,0,0,0,0,0,0,0
ChasingCoffins,blind,0,0,0,0,0,0,0,0
kcrpine,blind,0,0,0,0,0,0,0,0
rkonell,blind,0,0,0,0,0,0,0,0
SimpforBANANA,blind,0,0,0,0,0,0,0,0
Yalishandela,blind,0,0,0,0,0,0,0,0
JulienDesvergnes,blind,0,0,0,0,0,0,0,0
amporaic,blind,0,0,0,0,0,0,0,0
EBartlett86,blind,0,0,0,0,0,0,0,0
Saeid1986,blind,0,0,0,0,0,0,0,0
Emir-Ak,blind,0,0,0,0,0,0,0,0
Zoaib-Sir,blind,27,20,16288,3496,15999,289,3375,121
JuzHarii,blind,279,114,74279,224158,33884,40395,167183,56975
psykiatris,legally blind,91,2,27859,29,3933,23926,25,4
krishnabodawala,blind,0,0,0,0,0,0,0,0
mikehammond,blind,0,0,0,0,0,0,0,0
ShaneDittmar,blind,0,0,0,0,0,0,0,0
CNIBVRhub,blind,0,0,0,0,0,0,0,0
Ugly8,blind,0,0,0,0,0,0,0,0
M0M0KO,blind,154,263,4355,1705884,1349,3006,1701128,4756
johanolofolsson,legally blind,0,2,0,4,0,0,2,2
Myselfcodingwithzeroknowledge,blind,0,0,0,0,0,0,0,0
WestphalDenn,blind,0,0,0,0,0,0,0,0
maumau307,blind,0,0,0,0,0,0,0,0
Soapcantscript,blind,0,24,0,6534,0,0,6353,181
Ajax-11Fatui,blind,0,0,0,0,0,0,0,0
mrtochkaaaa,blind,0,0,0,0,0,0,0,0
rduranleau,blind,0,0,0,0,0,0,0,0
angelobeck,blind,14,38,8145,31300,8132,13,27481,3819
vlajna95,blind,0,11,0,3168,0,0,3093,75
GStoob,blind,0,0,0,0,0,0,0,0
trypolis464,blind,0,0,0,0,0,0,0,0
void-yu,blind,0,0,0,0,0,0,0,0
stewbradley,blind,7,0,110,0,102,8,0,0
shirishshrestha,blind,120,425,291745,308533,287899,3846,219773,88760
Pamasi,blind,86,55,130395,6234,101170,29225,4107,2127
RenanCastrov,blind,5,9,519,20843,399,120,20748,95
Choominator,blind,8,0,11356,0,7853,3503,0,0
renanfpina,blind,21,1,1198732,108,839306,359426,95,13
hermis501,blind,0,0,0,0,0,0,0,0
wSanice,blind,60,159,4461,1548642,4345,116,1028371,520271
trypolis,blind,0,0,0,0,0,0,0,0
ns-studios,blind,650,176,349508,142204,59701,289807,133030,9174
Redomine,blind,63,28,326738,1509,324367,2371,1207,302
ThisizAmen,blind,0,45,0,925,0,0,832,93
sharkboyto,blind,14,8,1216,159,1092,124,81,78
yang114un,blind,470,0,163564,0,80429,83135,0,0
praneethkvs,blind,43,130,144717,37450,143140,1577,36260,1190
AILocAR,blind,24,3,7595195,218,5193714,2401481,214,4
Zebedee85,blind,0,8,0,4726,0,0,4649,77
marigostra,blind,15,12,1211,1634,1083,128,1410,224
AL-Fom,blind,0,24,0,288,0,0,217,71
Bishnutrilokgrg,blind,1,0,6,0,6,0,0,0
AlasdairKing,blind,0,2,0,4145,0,0,4145,0
zeeshan-shafeek,blind,8,10,848,1191,695,153,1167,24
NightPurrer,blind,0,2,0,229,0,0,126,103
WhiteCaneGamer,legally blind,1,0,2,0,2,0,0,0
PhoenixTilea,blind,2042,836,112102,139470,29290,82812,105901,33569
kristofferlium,blind,0,0,0,0,0,0,0,0
iamguna1,blind,0,0,0,0,0,0,0,0
isnowify,blind,0,0,0,0,0,0,0,0
isaacmeira,blind,0,0,0,0,0,0,0,0
rmithyx,blind,2,0,241,0,235,6,0,0
ironcross32,blind,889,2,47378,121,35375,12003,121,0
Dav-ee,blind,2,0,6,0,3,3,0,0
javidominguez,blind,218,80,54358,4963,36650,17708,3046,1917
maniyax,blind,0,56,0,141638,0,0,80349,61289
serrebi,blind,89,309,3975,92333,2542,1433,71450,20883
liamerven,blind,573,55,45941,2312,16528,29413,1674,638
ismaelmosquera,blind,33,94,304169,484260,157173,146996,247924,236336
sethwilsonUS,legally blind,86,12,35520,35644,25757,9763,35480,164
SingleShot353,blind,0,0,0,0,0,0,0,0
yeatersink,blind,1299,123,243034,47378,143585,99449,27429,19949
RoryMichie,blind,526,0,19998,0,15260,4738,0,0
sketchypadz,blind,0,0,0,0,0,0,0,0
alexecution,blind,48,149,4958,143018,3810,1148,132864,10154
arnlen,blind,2,0,89,0,89,0,0,0
KreerC,blind,154,93,34310,8609,25709,8601,5600,3009
daterre,blind,0,0,0,0,0,0,0,0
Oliver2213,blind,498,1580,67250,121255,34700,32550,79439,41816
ryramzy,legally blind,0,164,0,152641,0,0,103743,48898
ntcarver,blind,0,0,0,0,0,0,0,0
parhamdoustdar,blind,1,0,111,0,111,0,0,0
akshayrajput,blind,0,0,0,0,0,0,0,0
nanabingies,blind,466,67,8141,3489,4679,3462,3217,272
FlorianEagox,blind,104,22,137374,25422,62697,74677,17319,8103
james34602,blind,0,9,0,48366,0,0,48286,80
zhihongw,low vision,0,0,0,0,0,0,0,0
Corey-R,low vision,0,0,0,0,0,0,0,0
BlindDinoNugget,low vision,0,0,0,0,0,0,0,0
Blindboxxed,low vision,0,0,0,0,0,0,0,0
suncityvisionca,low vision,0,0,0,0,0,0,0,0
BentoBoxBill,low vision,49,10,611,441,375,236,414,27
wugsby,low vision,0,0,0,0,0,0,0,0
itzsrv156,low vision,0,10,0,328,0,0,312,16
accessibleandroid,low vision,0,0,0,0,0,0,0,0
Tech-Ratan,low vision,0,0,0,0,0,0,0,0
mpmora11,low vision,0,0,0,0,0,0,0,0
