category,variable,statistic,p_value,p_value_corrected
physical,delta_commits,0.3234444967671802,0.5695449445942184,0.6307290602123332
physical,delta_lines,1.5375054324206872,0.21498949878900298,0.6307290602123332
physical,delta_acceptance_rate,0.9999999999999963,0.3173105078629121,0.6307290602123332
non-physical,delta_commits,2.577978446136292,0.6307290602123332,0.6307290602123332
non-physical,delta_lines,2.9892136789955375,0.5596320850933179,0.6307290602123332
non-physical,delta_acceptance_rate,4.107142857142856,0.391699794555924,0.6307290602123332
