username,keyword,category,commits_before,commits_after,net_lines_before,net_lines_after,lines_added_before,lines_removed_before,lines_added_after,lines_removed_after,prs_merged_before,prs_merged_after,total_prs_before,total_prs_after,acceptance_rate_before,acceptance_rate_after,ai_commit_count_before,ai_commit_count_after,ai_commit_ratio_before,ai_commit_ratio_after,ai_first_seen,mentions_copilot,mentions_copilot_before,mentions_copilot_after,mentions_chatgpt,mentions_chatgpt_before,mentions_chatgpt_after,mentions_claude,mentions_claude_before,mentions_claude_after,mentions_gemini,mentions_gemini_before,mentions_gemini_after,mentions_bing,mentions_bing_before,mentions_bing_after,mentions_grok,mentions_grok_before,mentions_grok_after,mentions_other_tools,mentions_other_tools_before,mentions_other_tools_after,mentions_general_ai,mentions_general_ai_before,mentions_general_ai_after
shubhampatel06,autism,non-disabled,10,25,19422,16060,19328,94,15962,98,0,0,0,0,0,0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kthamessr,autism,non-disabled,11,20,103,3288,56,47,2933,355,0,1,0,1,0,1,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vfeliu04,autism,non-disabled,25,81,190700,8236,190637,63,4858,3378,0,0,0,0,0,0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
augustoreyesdelgado,autism,non-disabled,55,19,46626,1189,44897,1729,851,338,0,4,0,4,0,1,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ShazedaOni,autism,non-disabled,132,22,219859,4052,219321,538,4003,49,0,0,0,0,0,0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
luogenomics,autism,non-disabled,40,34,11819,7335,9803,2016,6553,782,0,0,0,0,0,0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri200519,autism,non-disabled,54,102,13947,91461,13215,732,86261,5200,0,8,0,8,0,1,0,1,0.0,0.0098039215686274,2025-03-10 18:05:09+00:00,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mads-mikkel,autism,non-disabled,124,27,73085,4633,71190,1895,4559,74,0,0,0,0,0,0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
asdtiwari,asd,non-disabled,123,56,50798,42981,35378,15420,35939,7042,0,0,0,0,0,0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anuragcpp,asd,non-disabled,150,57,42517,17942,40120,2397,17456,486,0,0,0,0,0,0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LuizFernando110,asd,non-disabled,77,226,10065,34434,9135,930,27053,7381,0,53,0,55,0,0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Intron014,asd,non-disabled,4043,430,426402,51871,420594,5808,47146,4725,0,2,0,2,0,1,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
