keyword,before,after
autism,5674.0,9656.5
disabled,9607.0,24704.0
adhd,9802.0,17201.0
audhd,12081.0,21398.0
deaf,13844.0,5791.0
visually impaired,14621.0,12544.0
dyslexia,24789.0,2247320.0
asd,30257.0,42580.0
legally blind,35520.0,35644.0
dyscalculia,73935.0,3413.0
blind,79788.5,69855.5
