keyword,lines_change
deaf,-277.0
hard of hearing,0.0
slight hearing loss,0.0
minimal hearing loss,0.0
mild hearing loss,0.0
moderate hearing loss,0.0
severe hearing loss,0.0
profound hearing loss,0.0
dyscalculia,-70522.0
dyslexia,1105185.5
attention deficit disorder,0.0
adhd,2203.5
add,-27.5
tourette's syndrome,0.0
dyspraxia,0.0
developmental coordination disorder,0.0
autism,222.5
asd,-912.5
audhd,-105.5
disabled,2153.0
