keyword,before,after
audhd,92.40506329113924,91.3793103448276
legally blind,97.5,100.0
adhd,100.0,75.0
asd,100.0,100.0
autism,100.0,100.0
blind,100.0,100.0
deaf,100.0,100.0
disabled,100.0,100.0
